place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYQCNpndvtxsRhhOUugUruVg,Cafe do Viajante,,False,8,"Name: Hamburgueria da Caala
link: https://www.google.com/maps/search/Hamburgueria+da+Ca%C3%A1la/@-12.8508797,15.5562849?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Roulot Livuvada
link: https://www.google.com/maps/search/Roulot+Livuvada/@-12.8544681,15.555513099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe Da Euclis
link: https://www.google.com/maps/search/Caf%C3%A9+Da+Euclis/@-12.7741452,15.742320699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe do Viajante (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNfbx84mcm8dsscyOmGyoJON6Ol4t7RKJnaCRgE=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,,Open All Days,,"4GWP+JVX Cafe do Viajante, Caala, An Ge La ",,https://www.google.com/maps/place/Caf%C3%A9+do+Viajante/data=!4m7!3m6!1s0x1bb76f77a68d0061:0x58b92b05ba941386!8m2!3d-12.8533823!4d15.5372486!16s%2Fg%2F11q4dv4_fg!19sChIJYQCNpndvtxsRhhOUugUruVg?authuser=0&hl=zh-TW&rclk=1
ChIJI0jCCq9vtxsRjk2rrr2-Abo,Qia A La ,,False,,,,,,https://lh5.googleusercontent.com/p/AF1QipNRaMr0VnJTN15TPyFVpVa0NN9vFOua6kZaLAtp=w408-h306-k-no,,,,,Open All Days,,An Ge La Qia A La ,,https://www.google.com/maps/place/%E5%8D%A1%E9%98%BF%E6%8B%89/data=!4m7!3m6!1s0x1bb76faf0ac24823:0xba01bebdaeab4d8e!8m2!3d-12.8549255!4d15.5620927!16zL20vMDlkbDNk!19sChIJI0jCCq9vtxsRjk2rrr2-Abo?authuser=0&hl=zh-TW&rclk=1
